Price,Date,Adj Close,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.76432800292969,56.5875129699707,61.59376525878906,46.77188491821289,50.51251220703125,855215656
1,2007-10-08,31.08702850341797,53.69063949584961,58.50001525878906,53.3531379699707,58.50001525878906,126671715
2,2007-10-09,33.20398712158203,57.34688949584961,57.8531379699707,50.8218879699707,53.7187614440918,116725709
3,2007-10-10,33.513397216796875,57.881263732910156,59.06251525878906,57.37501525878906,58.8375129699707,67931378
4,2007-10-11,37.258819580078125,64.35001373291016,67.50001525878906,57.37501525878906,67.50001525878906,106320954
5,2007-10-12,37.01457595825195,63.928138732910156,66.31876373291016,62.43751525878906,63.00001525878906,99410791
6,2007-10-15,37.50310134887695,64.77188873291016,65.64376831054688,64.20938873291016,65.25001525878906,41814972
7,2007-10-16,41.32994842529297,71.38126373291016,72.50627136230469,64.40626525878906,64.85626220703125,138614496
8,2007-10-17,44.55426788330078,76.95001983642578,78.75001525878906,59.6812629699707,64.12501525878906,204876259
9,2007-10-18,42.9909553527832,74.25001525878906,84.06564331054688,71.07189178466797,78.18751525878906,146617799
10,2007-10-19,42.844390869140625,73.99689483642578,77.00627136230469,70.31251525878906,72.56251525878906,110266491
11,2007-10-22,42.27444839477539,73.01251983642578,75.29064178466797,70.59376525878906,72.50627136230469,72253405
12,2007-10-23,45.28706359863281,78.21564483642578,78.91876983642578,74.81251525878906,74.81251525878906,74594921
13,2007-10-24,44.58684539794922,77.00627136230469,80.7187728881836,76.13439178466797,79.87501525878906,63055170
14,2007-10-25,44.48912048339844,76.83751678466797,78.63751983642578,67.86563873291016,74.39064025878906,34522489
15,2007-10-26,45.8244514465332,79.14376831054688,80.40939331054688,76.07814025878906,78.18751525878906,62370025
16,2007-10-29,46.75267028808594,80.74689483642578,82.6875228881836,80.04376983642578,80.4375228881836,43657697
17,2007-10-30,47.79487228393555,82.5468978881836,84.76876831054688,79.42501831054688,81.8437728881836,79921711
18,2007-10-31,48.788211822509766,84.26251983642578,86.1187744140625,82.6875228881836,82.9687728881836,44655368
19,2007-11-01,47.697166442871094,82.37814331054688,86.99064636230469,81.7031478881836,86.3437728881836,50632492
20,2007-11-02,48.56023406982422,83.86876678466797,84.3750228881836,78.75001525878906,79.39689636230469,32001693
21,2007-11-05,49.55359649658203,85.58439636230469,87.4687728881836,83.30626678466797,83.8125228881836,38833135
22,2007-11-06,50.204959869384766,86.70939636230469,92.19377136230469,85.52814483642578,87.07501983642578,81880281
23,2007-11-07,49.47217559814453,85.44377136230469,89.55001831054688,83.5312728881836,88.3125228881836,33593141
24,2007-11-08,48.625389099121094,83.98126983642578,86.2593994140625,82.1250228881836,83.2500228881836,27990521
25,2007-11-12,49.7978630065918,86.00627136230469,87.5250244140625,79.22814178466797,81.45001983642578,35153735
26,2007-11-13,50.98662185668945,88.05939483642578,89.83126831054688,84.68439483642578,87.4687728881836,43830531
27,2007-11-14,50.3189582824707,86.9062728881836,90.8437728881836,86.45626831054688,89.60626983642578,36738579
28,2007-11-15,51.165748596191406,88.3687744140625,89.9156494140625,86.70939636230469,88.53752136230469,29242252
29,2007-11-16,50.80748748779297,87.7500228881836,89.74689483642578,86.73751831054688,87.97502136230469,18895294
30,2007-11-19,52.64764404296875,90.92814636230469,94.2187728881836,89.0718994140625,89.74689483642578,40716718
31,2007-11-20,51.83341979980469,89.52189636230469,93.0937728881836,88.42501831054688,90.5625228881836,26342171
32,2007-11-21,47.79487228393555,82.5468978881836,90.59064483642578,80.55001831054688,90.0562744140625,26814499
33,2007-11-22,46.15013885498047,79.70626831054688,84.9937744140625,76.24689483642578,81.67501831054688,34096185
34,2007-11-23,49.21162033081055,84.9937744140625,85.5000228881836,80.21251678466797,84.9375228881836,27664090
35,2007-11-26,49.602455139160156,85.66876983642578,88.14376831054688,84.9937744140625,88.14376831054688,20159123
36,2007-11-27,48.381107330322266,83.55939483642578,87.13127136230469,82.6875228881836,87.13127136230469,20573198
37,2007-11-28,47.664588928222656,82.32189178466797,85.7812728881836,81.75939178466797,85.38751983642578,16435311
38,2007-11-29,46.37813186645508,80.10002136230469,84.82501983642578,79.05939483642578,84.3750228881836,25530967
39,2007-11-30,48.169410705566406,83.19377136230469,83.70001983642578,80.4375228881836,81.5625228881836,18437721
40,2007-12-03,48.85335159301758,84.3750228881836,85.4156494140625,83.55939483642578,84.20626831054688,16851227
41,2007-12-04,48.21826934814453,83.27814483642578,85.6406478881836,82.65939331054688,84.9375228881836,14008727
42,2007-12-05,50.13982009887695,86.59689331054688,86.9062728881836,83.2500228881836,83.41876983642578,27725290
43,2007-12-06,49.21162033081055,84.9937744140625,89.80314636230469,83.89689636230469,88.48126983642578,24104710
44,2007-12-07,48.99992752075195,84.62814331054688,86.73751831054688,83.1093978881836,85.52814483642578,11742386
45,2007-12-10,49.04877471923828,84.7125244140625,85.75314331054688,83.61564636230469,85.44377136230469,8330010
46,2007-12-11,48.82078170776367,84.31877136230469,85.95001983642578,83.89689636230469,85.47189331054688,11685950
47,2007-12-12,48.788211822509766,84.26251983642578,85.02189636230469,82.6875228881836,83.2500228881836,16342131
48,2007-12-13,47.9739990234375,82.85626983642578,85.5000228881836,82.5468978881836,84.3750228881836,14620172
49,2007-12-14,47.50175094604492,82.04064178466797,83.33439636230469,81.61876678466797,82.57501983642578,10991851
50,2007-12-17,44.635684967041016,77.09064483642578,82.9687728881836,75.93751525878906,82.51876831054688,19355678
51,2007-12-18,44.44027328491211,76.75314331054688,79.31251525878906,74.36251831054688,76.21876525878906,21607783
52,2007-12-19,43.62605667114258,75.34689331054688,79.90314483642578,74.70001983642578,79.22814178466797,19526912
53,2007-12-20,43.18638229370117,74.58751678466797,76.95001983642578,74.25001525878906,76.33126831054688,17105204
54,2007-12-24,44.50541687011719,76.86564636230469,78.07501983642578,75.09376525878906,75.71251678466797,16711519
55,2007-12-26,45.85702133178711,79.20001983642578,80.1562728881836,77.28752136230469,77.28752136230469,20930094
56,2007-12-27,46.182716369628906,79.76251983642578,81.95626831054688,79.08751678466797,80.83126831054688,44565277
57,2007-12-28,46.54096984863281,80.38127136230469,80.7187728881836,78.75001525878906,79.59376525878906,18354518
58,2007-12-31,46.88294219970703,80.97189331054688,81.45001983642578,79.98751831054688,81.0000228881836,11982308
59,2008-01-01,47.74601364135742,82.46251678466797,83.22189331054688,80.63439178466797,81.39376831054688,16687746
60,2008-01-02,47.48546600341797,82.01251983642578,83.08126831054688,80.80314636230469,82.46251678466797,13437280
61,2008-01-03,49.439605712890625,85.38751983642578,85.72502136230469,80.52189636230469,81.50627136230469,31815218
62,2008-01-04,49.179054260253906,84.9375228881836,87.7500228881836,84.3750228881836,86.6250228881836,28011310
63,2008-01-07,48.77195358276367,84.2343978881836,86.17501831054688,83.33439636230469,84.40314483642578,15858063
64,2008-01-08,47.11093521118164,81.36564636230469,85.5000228881836,80.38127136230469,84.31877136230469,13282666
65,2008-01-09,46.361839294433594,80.07189178466797,81.81564331054688,79.87501525878906,81.45001983642578,13113527
66,2008-01-10,45.25449752807617,78.15939331054688,82.6875228881836,77.62501525878906,80.4375228881836,18023003
67,2008-01-11,45.938446044921875,79.34064483642578,80.10002136230469,76.21876525878906,79.22814178466797,11629440
68,2008-01-14,46.638671875,80.55001831054688,81.39376831054688,78.21564483642578,79.48126983642578,10264240
69,2008-01-15,45.2219123840332,78.10314178466797,82.18126678466797,77.45626831054688,81.8437728881836,11558334
70,2008-01-16,44.293724060058594,76.50001525878906,78.18751525878906,74.55939483642578,77.54064178466797,14834065
71,2008-01-17,45.482479095458984,78.55314636230469,80.2968978881836,75.15001678466797,76.78126525878906,16169395
72,2008-01-18,43.36549377441406,74.89689636230469,77.99064636230469,74.25001525878906,77.90626525878906,13254156
73,2008-01-21,35.988651275634766,62.15626525878906,74.25001525878906,54.1406364440918,74.25001525878906,33202389
74,2008-01-22,32.373497009277344,55.912513732910156,59.06251525878906,44.409385681152344,56.0250129699707,58755707
75,2008-01-23,35.988651275634766,62.15626525878906,64.54689025878906,56.81251525878906,56.81251525878906,28425991
76,2008-01-24,36.07006072998047,62.29689025878906,66.71251678466797,59.34376525878906,65.50314331054688,29911930
77,2008-01-25,37.92648696899414,65.50314331054688,65.81251525878906,62.85939025878906,65.25001525878906,12550722
78,2008-01-28,38.333595275878906,66.20626831054688,66.71251678466797,59.34376525878906,64.60314178466797,13601109
79,2008-01-29,37.69851303100586,65.10939025878906,67.33126831054688,64.12501525878906,66.37501525878906,7679877
